평가요소,난이도,질문 유형 (핵심 평가),예시 질문
정보분석능력,하,단순 데이터 해석 및 기본 지표 파악,3개 분기 동안 고객 이탈률이 5%에서 8%로 증가하고 있다. 이 지표가 의미하는 바를 설명하라.
정보분석능력,하,단순 데이터 해석 및 기본 지표 파악,"2024년 1월과 7월의 평균 사용자 접속 시간 데이터를 보고, 눈에 띄는 변화나 패턴을 1분 내로 요약하라."
정보분석능력,하,단순 데이터 해석 및 기본 지표 파악,"특정 지역의 매출액이 전년 대비 10% 상승했으나, 마케팅 비용은 20% 상승했다. 이 상황에 대한 간단한 해석을 제시하라."
정보분석능력,중,"인사이트 도출 및 추론, 복합적 데이터 해석","최근 A제품 매출이 감소했는데, B제품의 검색량은 증가했다. 이 두 데이터 간의 잠재적 연관성을 분석하고, 추가로 확인해야 할 데이터는 무엇인가?"
정보분석능력,중,"인사이트 도출 및 추론, 복합적 데이터 해석","경쟁사 3곳의 특허 출원 동향 자료를 보여주었을 때, 우리 회사가 향후 1년간 집중해야 할 기술 분야를 데이터 기반으로 2가지 제안하라."
정보분석능력,중,"인사이트 도출 및 추론, 복합적 데이터 해석","주어진 설문조사 데이터(응답률 30%)에서 '만족' 응답이 80%로 나왔다. 이 수치를 액면 그대로 믿기 어려운 이유를 설명하고, 데이터의 한계점을 극복할 방법을 제시하라."
정보분석능력,상,데이터의 결함/편향 식별 및 새로운 분석 모델 제시,현재 수집되는 고객 데이터 중 약 20%가 누락되거나 오류가 있다고 가정한다. 이 결함을 최소화하기 위해 데이터 수집 초기 단계에서 적용할 수 있는 혁신적인 메커니즘을 설계하라.
정보분석능력,상,데이터의 결함/편향 식별 및 새로운 분석 모델 제시,"'구매 전환율'이라는 전통적인 지표 외에, 우리 회사의 비즈니스 성장 잠재력을 가장 잘 나타낼 수 있는 **새로운 핵심성과지표(KPI)**를 제안하고, 그 지표의 데이터 수집 방법 및 분석 가치를 설명하라."
정보분석능력,상,데이터의 결함/편향 식별 및 새로운 분석 모델 제시,"A/B 테스트 결과, A안이 B안보다 통계적으로 유의미하게 우수하게 나왔다. 하지만 당신은 직관적으로 B안이 장기적으로 더 성공적일 것이라 확신한다. 이러한 직관을 객관적 근거로 변환하여 상사를 설득하기 위해 어떤 추가 분석을 수행할 것인가?"
유연한사고능력,하,단순 관점 전환 및 개념 재정의,"당신의 주장을 상사에게 강력하게 반대하는 동료의 입장이 되어, 그가 반대하는 이유 3가지를 설명하고 이를 당신의 제안에 어떻게 반영할지 말하라."
유연한사고능력,하,단순 관점 전환 및 개념 재정의,"당신의 직무를 '탐정'에 비유한다면, 이 비유를 통해 당신의 가장 중요한 역할을 설명하라."
유연한사고능력,하,단순 관점 전환 및 개념 재정의,"만약 회사의 모든 커뮤니케이션이 '그림과 소리'로만 이루어져야 한다면, 당신은 프로젝트 진행 상황을 어떻게 보고할 것인가?"
유연한사고능력,중,상충 목표의 균형점 찾기 및 비즈니스 외적 요소 도입,'최소한의 리소스로 최대한의 결과물'을 요구하는 상사와 '번아웃(Burnout) 없는 직원 만족도 100%'를 요구하는 팀원들 사이에서 당신은 어떤 균형점을 찾을 것인가?
유연한사고능력,중,상충 목표의 균형점 찾기 및 비즈니스 외적 요소 도입,"르네상스 시대의 화가인 레오나르도 다빈치의 사고방식을 현재 IT 프로젝트 관리에 도입한다면, 가장 크게 변화할 프로세스 3가지는 무엇인가?"
유연한사고능력,중,상충 목표의 균형점 찾기 및 비즈니스 외적 요소 도입,"현재의 핵심 고객층(20대 남성)을 포기하지 않으면서, 60대 이상 여성 고객을 신규 유치하기 위한 기존 제품의 '역발상적' 마케팅 전략을 제안하라."
유연한사고능력,상,윤리적/철학적 딜레마 해소 및 추상적 개념의 직무 적용,"효율성(Efficiency)과 공정성(Fairness)이라는 두 가치가 충돌할 때, 당신의 직무 가치관에 따른 우선순위를 정하고, 그 근거를 설명하라."
유연한사고능력,상,윤리적/철학적 딜레마 해소 및 추상적 개념의 직무 적용,"'노이즈 캔슬링(Noise Cancelling)' 기술을 당신의 직무 효율성에 적용한다면, 제거해야 할 '노이즈'는 무엇이고, 이를 위한 구체적인 방법론은 무엇인가?"
유연한사고능력,상,윤리적/철학적 딜레마 해소 및 추상적 개념의 직무 적용,"세상에 존재하는 모든 '색깔'이 사라지고 흑백만 남았다고 가정한다. 이 변화가 당신의 직무(예: UX/UI 디자인, 데이터 시각화)에 미치는 가장 큰 영향을 분석하고, 이 제약을 창의적으로 극복할 새로운 방식을 제안하라."
협상및설득능력,하,단순 제품 판매 및 일상적 요청 관철,"당신의 팀에 꼭 필요한 고가(高價)의 소프트웨어 구매를 예산팀에 간결하게 설득하라. (단, 예산이 부족하다는 것은 알고 있다.)"
협상및설득능력,하,단순 제품 판매 및 일상적 요청 관철,가상의 제품 '투명 우산'을 면접관에게 3분 동안 판매하라.
협상및설득능력,하,단순 제품 판매 및 일상적 요청 관철,"동료가 당신의 업무 방식에 비효율적이라고 공개적으로 지적했을 때, 동료의 기분을 상하지 않으면서 당신의 방식을 관철하는 방법을 말하라."
협상및설득능력,중,복잡한 이해관계 조정 및 까다로운 상대 설득,"고객사와의 계약에서, 고객은 '가격 인하'를, 당신은 '납기 연장'을 원한다. 양측의 **최적의 BATNA (최선의 대안)**를 설계하고 이를 바탕으로 협상 시나리오를 제시하라."
협상및설득능력,중,복잡한 이해관계 조정 및 까다로운 상대 설득,"기술적으로는 불가능에 가까운 요청을 하는 매우 고집 센 고객에게, 요청을 거절하지 않으면서도 대안을 제시하여 고객을 만족시키는 설득 전략을 말하라."
협상및설득능력,중,복잡한 이해관계 조정 및 까다로운 상대 설득,당신이 속한 팀의 성과가 매우 좋지 않아 상사에게 팀 해체를 건의받았다. 팀 해체를 막고 오히려 추가 인력과 예산을 확보하기 위해 상사를 논리적으로 설득하라.
협상및설득능력,상,고부가가치 협상 및 위기 상황의 설득 전략,경쟁사가 우리 회사의 핵심 기술을 모방한 신제품을 출시했다. 법적 조치 대신 경쟁사를 설득하여 전략적 제휴를 맺는 협상안을 3가지 관점에서 제시하라.
협상및설득능력,상,고부가가치 협상 및 위기 상황의 설득 전략,"회사의 주가가 급락한 상황에서, 투자자들에게 단기적 손실에도 불구하고 장기적으로 회사가 성공할 수밖에 없는 비전을 설득하여 투자를 유치하는 프레젠테이션을 한다고 가정하고, 핵심 논리 3가지를 제시하라."
협상및설득능력,상,고부가가치 협상 및 위기 상황의 설득 전략,당신의 아이디어가 사내에서 혁신적이지만 현실성이 없다는 이유로 90%의 동료에게 반대받고 있다. 이 90%의 동료를 단 하나의 강력한 논리로 즉시 설득하여 지지자로 바꾸는 방법을 말하라.
IT능력,하,기본 개념 정의 및 작동 원리 설명,스택(Stack)과 큐(Queue)의 차이점을 실생활 예시를 들어 설명하라.
IT능력,하,기본 개념 정의 및 작동 원리 설명,"간단한 웹 페이지 접속 시, 사용자 브라우저에서 서버까지의 통신 과정을 순서대로 설명하라."
IT능력,하,기본 개념 정의 및 작동 원리 설명,"객체 지향 프로그래밍(OOP)의 4가지 주요 특징(캡슐화, 상속, 다형성, 추상화) 중 **'다형성(Polymorphism)'**의 원리를 설명하라."
IT능력,중,기술 비교 및 중간 규모 시스템 설계,NoSQL 데이터베이스가 관계형 데이터베이스(RDB)보다 효율적인 시나리오 2가지를 비교 설명하라.
IT능력,중,기술 비교 및 중간 규모 시스템 설계,"사용자가 사진을 업로드하면, 해당 사진의 색상을 추출하여 사용자에게 보여주는 간단한 서비스의 아키텍처를 설계하고 핵심 기술 스택을 제안하라."
IT능력,중,기술 비교 및 중간 규모 시스템 설계,"Quick Sort와 Merge Sort의 시간 복잡도가 발생하는 원리와 각각의 장단점을 설명하고, 어떤 상황에 적합한지 비교하라."
IT능력,상,대규모 분산 시스템 및 심화 이론 적용,"매일 1억 건의 데이터가 발생하는 실시간 추천 시스템을 설계한다고 가정한다. 데이터의 수집부터 처리, 서빙까지의 분산 아키텍처를 제안하고, 확장성(Scalability) 확보 방안을 설명하라."
IT능력,상,대규모 분산 시스템 및 심화 이론 적용,"마이크로 서비스 아키텍처(MSA)를 도입할 때 얻는 이점과 함께, MSA 도입 후 발생할 수 있는 가장 치명적인 문제 3가지와 그 해결 방안을 제시하라."
